title,section,id,source,url,author,theme_keyword,text_type,text,summary,notes
The Root Verses on the Six Bardos,Bardo of This Life,T01_S01,Lotsawa House,https://www.lotsawahouse.org/tibetan-masters/karma-lingpa/root-verses-six-bardos,Karma Lingpa,bardo of this life,translated primary text,"Kyema! Now when the bardo of this life is dawning upon me, / I will abandon laziness for which life has no time, / Enter, undistracted, the path of study, reflection and meditation, / Making perceptions and mind the path, and realize the three kāyas; / Now that for once I have attained a human body, / This is not the time to remain in the ways of distraction.","The verse instructs the practitioner to use the bardo of this life by abandoning distraction and engaging earnestly in study, reflection, and meditation in order to realize the three kāyas.","Directly introduces the six-bardo framework central to this project. The phrase 'making perceptions and mind the path' links phenomenal appearances to consciousness, key for co-occurrence analysis. Translator: Adam Pearcey, 2016. Source: Karma Lingpa's terma, part of the Liberation Upon Hearing in the Bardo (Tibetan Book of the Dead)."
The Root Verses on the Six Bardos,Bardo of Dreams,T01_S02,Lotsawa House,https://www.lotsawahouse.org/tibetan-masters/karma-lingpa/root-verses-six-bardos,Karma Lingpa,dream bardo,translated primary text,"Kyema! Now when the bardo of dreams is dawning upon me, / I will abandon the heedless, corpse-like sleep of ignorance, / And settle the mind in its natural state without distraction; / Recognizing dreams, I will train in transformation and clear light, / I must not simply slumber like an animal, / But combine sleep with realization—this is crucial.","The dream bardo verse instructs the practitioner to recognize dreams, train in the transformation of dream content, and cultivate clear light rather than remaining in heedless sleep.","Dream recognition as parallel to bardo recognition is important for co-occurrence analysis around 'recognition,' 'clear light,' and 'natural state.' Links to the dying process through the analogy of unconscious sleep. Translator: Adam Pearcey, 2016."
The Root Verses on the Six Bardos,Bardo of Samādhi Meditation,T01_S03,Lotsawa House,https://www.lotsawahouse.org/tibetan-masters/karma-lingpa/root-verses-six-bardos,Karma Lingpa,samādhi bardo,translated primary text,"Kyema! Now when the bardo of samādhi is dawning upon me, / I will abandon all forms of distraction and delusion, / And rest in the infinite state that is free of distraction and grasping; / Gaining stability in the two stages: generation and perfection, / At this time of single-pointed meditation, having given up activity, / I must not fall under the sway of afflictions and delusion.",The samādhi bardo verse calls for resting in non-grasping awareness and gaining stability in both generation and completion stages of meditation to avoid delusion.,"Co-occurrence potential: 'samādhi,' 'delusion,' 'distraction,' 'grasping,' and 'awareness.' Establishes that meditative experience in life directly conditions bardo recognition. Translator: Adam Pearcey, 2016."
The Root Verses on the Six Bardos,Bardo of Dying,T01_S04,Lotsawa House,https://www.lotsawahouse.org/tibetan-masters/karma-lingpa/root-verses-six-bardos,Karma Lingpa,bardo of dying,translated primary text,"Kyema! Now when the bardo of dying is dawning upon me, / I will abandon all grasping, yearning, and attachment, / Enter, undistracted, a state in which the instructions are clear, / And transfer my own awareness into the sphere of unborn space; / As I am about to leave this compound body of flesh and blood, / I will know it to be a transitory illusion.","The dying bardo verse instructs the practitioner to release all attachment at death, clearly recall the instructions, and transfer awareness into unborn space, understanding the body as an impermanent illusion.","Central section for the research question: covers dying, attachment, transference of awareness (phowa), and the body as illusion. Key vocabulary: 'awareness,' 'unborn space,' 'grasping,' 'instructions.' Translator: Adam Pearcey, 2016."
The Root Verses on the Six Bardos,Bardo of Dharmatā,T01_S05,Lotsawa House,https://www.lotsawahouse.org/tibetan-masters/karma-lingpa/root-verses-six-bardos,Karma Lingpa,bardo of dharmatā,translated primary text,"Kyema! Now when the bardo of dharmatā is dawning upon me, / I will abandon all fear and terror, / Recognizing whatever appears as the natural display of awareness, / I will know it to be the way this bardo unfolds; / Now that I have reached this momentous, crucial point, / I will not fear these natural manifestations, the peaceful and wrathful deities.",The dharmatā bardo verse instructs the practitioner to recognize all arising appearances—including the peaceful and wrathful deities—as the natural display of awareness and to overcome fear through recognition.,"Directly addresses dharmatā appearances, recognition, and the peaceful/wrathful deities. Key co-occurrence vocabulary: 'dharmatā,' 'awareness,' 'appearances,' 'recognition,' 'fear,' 'natural display.' Critical for the research question about how appearances in the bardo lead to liberation or rebirth. Translator: Adam Pearcey, 2016."
The Root Verses on the Six Bardos,Bardo of Becoming,T01_S06,Lotsawa House,https://www.lotsawahouse.org/tibetan-masters/karma-lingpa/root-verses-six-bardos,Karma Lingpa,bardo of becoming,translated primary text,"Kyema! Now when the bardo of becoming is dawning upon me, / I will concentrate my mind with single-pointed determination, / Strive to prolong the results of good karma, / Close the entrance to rebirth, and try to keep from being reborn. / This is the time when perseverance and pure perception are required; / Abandon jealousy, and meditate on the master and consort.","The becoming bardo verse calls for concentrated mind, strong positive karma, and the closing of the womb door to prevent unfavorable rebirth, emphasizing devotion and pure perception.","Directly addresses the bardo of becoming and rebirth prevention. Key vocabulary: 'rebirth,' 'karma,' 'womb door,' 'pure perception,' 'becoming.' Central to research on how the transition from death to rebirth is described. Translator: Adam Pearcey, 2016."
Crucial Advice: A Complete Set of Instructions for the Bardos,Bardo of This Life and Dzogchen View,T02_S01,Lotsawa House,https://www.lotsawahouse.org/tibetan-masters/longchen-rabjam/complete-set-instructions,Longchen Rabjam,bardo of this life,advice,"Although you have gained this life of freedom and advantage, it will not last, / So keep in mind these instructions for the moment of death. / Now, during this intermediate period of the bardo of this life, / Decide, with complete certainty, that the wisdom of your own awareness is dharmakāya, / And sustaining the ongoing experience of its self-radiance, the meditation which is naturally clear, / Everything will only enhance naturally arising wisdom!",Longchen Rabjam opens by urging urgency in death preparation and instructs the practitioner to recognize their own awareness as dharmakāya during this life and sustain natural meditation.,"Establishes the Dzogchen view that awareness equals dharmakāya—central to understanding liberation at death. Key co-occurrence: 'awareness,' 'dharmakāya,' 'self-radiance,' 'naturally arising wisdom.' Translator: Adam Pearcey, 2010. Dedicated to memory of Ian Maxwell."
Crucial Advice: A Complete Set of Instructions for the Bardos,Bardo of Dying and Elemental Dissolution,T02_S02,Lotsawa House,https://www.lotsawahouse.org/tibetan-masters/longchen-rabjam/complete-set-instructions,Longchen Rabjam,dissolution,advice,"During the bardo of dying, when the four elements dissolve, / There will be the illusory experiences of rising and falling, shaking, and haziness. / And the dissolution of earth, water, fire, wind and space. / The sense faculties too will cease to function. At that time, remind yourself: / 'Now I am dying, but there is no need to fear.' / Examine: 'What is death? Who is dying? Where does dying take place?'",During the bardo of dying Longchen Rabjam describes elemental dissolution and instructs the practitioner to examine the nature of death directly rather than fear it.,"Rich vocabulary for the dissolution sequence: 'elements dissolve,' 'sense faculties cease,' 'dying,' 'fear.' The philosophical question 'Who is dying?' establishes non-self inquiry central to liberation. Translator: Adam Pearcey, 2010."
Crucial Advice: A Complete Set of Instructions for the Bardos,Recognition of Clear Light and Liberation at Death,T02_S03,Lotsawa House,https://www.lotsawahouse.org/tibetan-masters/longchen-rabjam/complete-set-instructions,Longchen Rabjam,clear light,advice,"Death is merely the return of borrowed elements. / In the face of rigpa itself, there is no birth or death. / Separated from the ordinary mind, the great primordial purity of dharmakāya dawns. / Through having recognized this here and now in training, / You will be freed directly, in a single instant. / And gain the dharmakāya of twofold purity.",Longchen Rabjam teaches that the moment of death offers an opportunity to recognize dharmakāya clear light and attain liberation in a single instant through prior meditation training.,"Pivotal passage for the research question: 'rigpa,' 'dharmakāya,' 'primordial purity,' 'liberation,' 'clear light' are all concentrated here. Establishes the relationship between dying and liberation through recognition. Translator: Adam Pearcey, 2010."
Crucial Advice: A Complete Set of Instructions for the Bardos,Bardo of Dharmatā and Appearances as Rigpa,T02_S04,Lotsawa House,https://www.lotsawahouse.org/tibetan-masters/longchen-rabjam/complete-set-instructions,Longchen Rabjam,bardo of dharmatā,advice,"Thereafter, clear light appearances—manifestations of the ground—will arise. / Sounds, lights and colours, peaceful and wrathful ones filling the sky, / By recognizing all these appearances as rigpa's self-radiance, / You will be freed in the original state, and attain awakening. / It is crucial, therefore, to recognize everything as intrinsic radiance. / Through recognizing the essence, you will gain enlightenment.","After the moment of death, ground-appearances of sound, light, and color arise in the bardo of dharmatā; recognizing them as rigpa's own radiance leads to liberation.","Key for co-occurrence: 'appearances,' 'rigpa,' 'self-radiance,' 'sounds,' 'lights,' 'peaceful and wrathful,' 'recognition,' 'liberation.' Directly describes how dharmatā appearances function in the transition between dying and rebirth. Translator: Adam Pearcey, 2010."
Crucial Advice: A Complete Set of Instructions for the Bardos,Bardo of Becoming and Aspiration,T02_S05,Lotsawa House,https://www.lotsawahouse.org/tibetan-masters/longchen-rabjam/complete-set-instructions,Longchen Rabjam,bardo of becoming,advice,"This is how it all arises, but should you fail to recognize it, / The dream-like bardo of becoming will dawn. / At that time, by recalling a pure land, / And taking refuge in the lama and the yidam deity, / Some will find freedom in a pure buddha paradise, / And some will gain the seven qualities of birth in a higher realm, / And be assured of gaining liberation in the next life.","If recognition fails in the dharmatā bardo, the becoming bardo arises; devotion to lama and yidam and aspiration for a pure land can still lead to liberation in a future life.","Covers failure to recognize, dream-like becoming bardo, pure land aspiration, and rebirth in higher realms. Key vocabulary: 'bardo of becoming,' 'pure land,' 'liberation,' 'rebirth.' Completes the three-bardo sequence. Translator: Adam Pearcey, 2010."
Liberation Upon Hearing: An Explanation of the Phenomena of the Intermediate State,General Teaching: Essence and Meaning of Bardo,T03_S01,Lotsawa House,https://www.lotsawahouse.org/tibetan-masters/minling-terchen/liberation-upon-hearing,Minling Terchen Gyurme Dorje,bardo (general),ritual guidance,"Kye! Son or daughter of noble family, you, the one named [insert name], who have died, do not be distracted! Listen and keep this in mind. It is the general nature of all conditioned phenomena to be impermanent and subject to change. And it is taught that the nature of beings' lives in particular is that they lack even so much as a moment's permanence. For you, the time has now come: your life is spent. You are in the intermediate state. Hold to these key points of profound instruction, and until this ritual introduction is complete maintain a natural state of awareness.","The text opens by addressing the deceased by name, emphasizing impermanence and urging them not to be distracted but to hold a natural state of awareness in the intermediate state.","Written to be recited aloud at death—ideal for studying the ritual guidance register and the vocabulary of address to the deceased. Key words: 'natural state,' 'awareness,' 'intermediate state,' 'impermanent,' 'distracted.' Translator: Adam Pearcey, 2019."
